hard_text,profession,gender
"Greg has been accredited with the CFP (Certified Financial Planner) designation by the Certified Financial Planner Board of Standards and the PFS (Personal Financial Specialist) designation by the American Institute of Certified Public Accountants. Prior to joining Adirondack Asset Management, Greg obtained his CPA at an International CPA firm and continued in private industry for 18 years building his own personal investment portfolio to allow him to relocate permanently to his vacation home in the Adirondacks. He now looks forward to helping others achieve their own financial independence. Greg graduated from Gettysburg College in 1979 with a B.A. degree in Business Administration.",0,0
"But instead of getting lost in numbers, he would rather prefer to loose himself in the deep ravines of the Himalayas. One month every year, Divyesh takes time off from his busy schedule and heads off to the Himalayas for a dose of trekking and mountain climbing. He has trekked extensively in Garhwal, Kumaon and Ladakh, even going further up north to the Siachen Glacier. Till date, Divyesh has participated in 19 Himalayan expeditions and climbed 25 peaks, several of them more than 20,000 feet above sea level. Not surprisingly, he is a winner of several awards, such as Best Mountaineering Expedition of the year 2005 and the Best Mountaineer of the Year 2009-10.",0,0
"Since 1984, Mr. Stack has owned his own business, Thomas J. Stack, Jr., LTD. He is a member of the Illinois CPA Society, the American Institute of Certified Public Accountants, and the Ledger and Quill Society of DePaul University. Mr. Stack also serves as a board member of DePaul University’s President’s Club and the Chicago Police Chaplains Ministry. Mr. Stack has a long history with Haymarket Center as a volunteer. Haymarket Center’s founder, Monsignor Ignatius McDermott, was Mr. Stack’s great uncle.",0,0
"Uncompromising on integrity and courage, he has authored several well researched and thought-provoking articles and books on finace, economics, politics, law and culture.",0,0
Nicholas has responsibility for the compilation of extensive financial data for use in preparation of client financial statements and overall analysis. He works primarily in the transportation and service industries. He also works on the preparation of personal income tax returns.,0,0
"He spent over 8 years in PWC’s Audit and Advisory services managing SEC registrant audits, advising on M&A transactions and helping clients achieve Sarbanes-Oxley compliance. Since founding Silicon Valley Accountants in 2008, Gabe primarily focuses on financial effectiveness; however, also advises clients on financial reporting matters, assisting with mergers and integrations, as well as Sarbanes-Oxley compliance processes.",0,0
He graduated from U.C. Santa Barbara with a degree in Business/Economics. He moved to Sacramento to pursue his law degree at McGeorge School of Law. In his twenty-eight years in accounting Jon’s practice has focused on tax and financial planning for closely held businesses and self-employed individuals in a variety of industries.,0,0
"He is a frequent speaker, appears regularly in the media, and is the author of several books, including Enough Bull and Crushing Debt. He is also a previous director of Credit Canada, a non-profit organization dedicated to helping people deal with credit problems.",0,0
"According to the lawsuit Roger Ailes became ‘paranoid’ about terrorism after the Sept. 11 attacks and took his suspicions out on Musfiq Rahman, a Bangladeshi payroll employee",0,0
"Roger has over twenty-five years of total experience which started at a Regional CPA firm. From there, he worked as an Auditor for the Federal Government’s Defense Contract Audit Agency. Roger then moved to a large non-profit corporation for 15 years holding numerous different positions until finally becoming the Corporate Controller. Roger than provided CFO/Controller services to Native American Organizations before spending the last several years in a similar non-profit to EBAC during which the organization more than doubled in size. Roger graduated cum laude with a Bachelor of Science in Accounting from Baker University.",0,0
"His love of small business has allowed him to help his clients through all aspects of their business cycle. In addition to managing his Accounting practice in Huntingdon Valley, PA, Mr. Dougherty also serves as a member of the Fiscal Committee for a 125-year old retirement community in Philadelphia and on the consistory board at his church as its Treasurer. He joined NewKnowledge in 2017 as the contract Chief Financial Officer.",0,0
"Bathe stays involved in the community as a member of the Durham Youth Justice Committee through the Boys and Girls Club of Oshawa, volunteers his time to Meals on Wheels and Habitat for Humanity and regularly attends events held by the University of Ontario Institute of Technology Accounting Association to stay connected with students and provide career advice.",0,0
"He is an expert at using his accounting and auditing skills to provide the government agencies with high-quality reports and maintain compliance. He has consistently provided employers with outstanding service and demonstrated his commitment to excellence for every job he has undertaken.Gary Kapanowski was previously part of the DCAA compliance team and a liaison who was responsible for developing and receiving approval of forward price rates, overheads, accounting changes and comprehensive business plans. He was responsible for creating numerous Closure and Design-to-Cost reports during his time at DCAA. Read more here:- https://garykapanowski.wordpress.com/2015/02/09/gary-kapanowski-part-of-the-dcaa-compliance-team/",0,0
"He is specialised in management accounting, finance & general management and holds a Masters Degree in Business Administration from Henley Management College, UK. He also holds a Diploma in Management Accounting from the Chartered Institute of Management Accounting (CIMA), UK. Throughout his professional career, he held various senior executive positions within the private sector mainly in the construction, services, communications and hospitality industries amongst others. Prior to joining the MGA, Mr Cuschieri spent eight (8) years with Vodafone Malta, first as Head of Public Policy & Corporate Affairs and then as Chief Commercial Officer. He also spent a short stint as a senior consultant on business advisory services with Ernst & Young Malta.",0,0
"In 1994 he joined Schroders Australia as Finance Director, responsible for the property funds management business. In 2000 Martin joined the Sydney Futures Exchange (SFE) as Chief Financial Officer. He retired in 2006, after overseeing the merger of the SFE.",0,0
"He is responsible for day to day operations of the Company. He has prior experience of working with PE Funds, Large size Real Estate Developers and other Large Corporates in the field of Infrastructure and Energy.",0,0
"Believing that God is faithful and would give His children the desires of their heart, Richard and his wife Margret began a youth outreach from his local church in Phoenix, AZ. Struggling to balance the needs of his employer, family, church and ministry to youth caused him to begin to ask God for a clear direction of God’s call for him and his family.",0,0
"He graduated from Universiti Tun Abdul Razak with a Doctor in Philosophy (Management), Universiti Sains Malaysia with a Masters in Business Administration and the Universiti Utara Malaysia with Bachelors in Public Administration (Honours). He was formerly the Assistant Director at the Inland Revenue Board Malaysia and has worked in accounting at Penang Seagate Industries Sdn Bhd and Wong Engineering Corporation Berhad. He is currently a member of the faculty at Wawasan Open University.",0,0
"He has worked at huge Accounting firms such as Andersen and Ernst & Young as Tax practice leader. He is now the Co-Founder, Managing Partner and tax practice leader at BMR Legal. Along with this he is also a visiting faculty at WU (Vienna University of Economics and Business).",0,0
"He is a member of the Quebec Institute of Chartered Accountants. Mr. Grou co-founded Grou, La Salle & Associates CA in 1980 and was a partner at the firm until 2004. At GLA, Mr. Grou coordinated and led the reverse take-over process for several public companies and successfully completed several transactions with mining, oil and gas, telecommunications and medical devices for local, national and internationally-based companies. In addition to his current directorships, Mr. Grou was and continues to be part of the Board of Directors of several public natural resources companies.",0,0
"He specializes in preparing income tax returns for all types of businesses, individuals, estates, and trusts. He also consults with new business owners on how to properly structure their business to get the maximum benefit from current tax laws. Steve deals with many stock market and real estate investors. He has clients nationwide and lectures regularly on tax topics. He is often a featured speaker at Van Tharp's Infinite Wealth Workshop. Contact Steve@SteveMeredithPLLC.com",0,0
"He runs his business out of his home, which is out in the country, allowing him the freedom he wants to indulge in his hobbies. In his hours away from the computer and pencil and paper Phil likes to restore old cars, his pride and joy is a Capri from the 60s but he also is proud of owning one of only seven Edsels still in existence.",0,0
"Based in Park Ridge, Ill., he specializes in accounting, consulting, income tax, estate tax planning, tax preparation, auditing, and litigation support services for individuals and closely held companies.",0,0
"She has travelled to Pisgah to live with her parents while she finds a new direction in life. Her current job is a part-time position at the local bank in Pisgah. Avis is divorced. Jon and Avis are aware of each other's existence, but they haven't yet met.",0,1
"Prior to joining ACON in 2016, Ms. Zilm was an Accounting Officer at Women for Women International, where she managed the accounting transactions of the organization and oversaw payroll processes.",0,1
She is the Finance assistant at TISA & responsible for the day to day administrative work as well as assisting in grants management and reporting to various TISA grants. She likes reading and hiking and a passion for children and art.,0,1
She has more than 30 years of experience in taxation and specializes in tax planning and real estate and partnership compliance. She is a former national president of American Woman’s Society of CPAs.,0,1
"She has worked for Deloitte and in several companies including Reebok International, Pfizer, Alcan and The ALDO Group. Luce has recently founded her own accounting practice, Activ accounting and tax services. Her main clients are SMEs as well as independent workers.",0,1
"In 2005 she founded her own company, Pace Advisors, LLC, in Cincinnati, Ohio. A frequent resource to the media on personal finance matters, she has been quoted in publications ranging from Kiplinger’s to USA Today. Ms. Pace holds a BBA from the University of Cincinnati and completed the Financial Planning Residency Program at the University of California, Irvine.« back to archive list «",0,1
"After completing her MBA with an emphasis in marketing from Northwestern University, she went on to successfully run her own company, Robinson Management Resources. Since 2002, she continues to apply her leadership experience as president of Reliable Water Services.",0,1
"She has worked in the entertainment, insurance, telecommunications, manufacturing and distribution sectors and is currently a finance professional with the City of Winnipeg.",0,1
She has a keen interest in Education and Governance and is honoured to join the Curwen Local Advisory Board as a School Governor. She looks forward to making a positive contribution to the LAB and school community going forward.,0,1
"She has a strong financial reporting and corporate governance background and specializes in financial modeling and strategic decision making from a financial perspective. Queenie is an excellent manager and is able to lead finance teams in various different business settings. Her background with KPMG LLP gives her experience managing a firm mentality where people resources are the firm’s largest asset. Queenie is currently a Partner and the Chief Financial Officer of GEC Architecture, an architectural practice founded in 1966 and one of the longest continually operating architecture firms in North America. Queenie is a member of the Canadian Institute of Chartered Accountants, Institute of Chartered Accountants of Alberta, Saskatchewan, and British Columbia.",0,1
"Judy C. Mix has been issued a Indiana license number CP19100094. All CPAs, including Judy C. Mix, have at the minimum an undergraduate degree in accounting, passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed. CPAs can work in private industry, education or government but most people think of CPAs during tax season as the experts in tax preparation. Their overall training in business and knowledge in principles of general law and taxation provide CPAs with the skills to help individuals with both personal and business financial decisions.",0,1
She joined WGANJ in 2012 to improve her skills and meet other women who enjoy the game of golf. Lorie joined the Board of Directors in 2013 as Director of Finance.,0,1
"Her firm offers a wide range of services to individual and business clients. Because the firm is small, clients benefit by getting personalized, and quality service that is beyond comparison.",0,1
"In Hidden Assets, her original purpose is to assist her longtime friend Anne Torbin in uncovering Anne’s soon-to-be ex-husband’s thefts. Carly soon finds herself calling upon more than her accounting skills to uncover more than missing money.",0,1
"Beginning this past November, for the first time in her life, Melanie began experiencing periods of depression, lethargy, and excessive sleeping. In addition, she noticed that she was eating more than she had previously, and as a result, had gained 10 pounds.",0,1
"A Trump-controlled developer made condominiums available in the Trump Tower in Chicago, Illinois. The Chicago Trump Tower’s 92 stories enclosed 486 residential units and 339 hotel condominium units. In 2006, Ms. Goldberg signed contracts to purchase two hotel condominium units as investments. Their prices were over $1.2 million and over $971,000, respectively. . . .",0,1
She is a Trustee of the Canadian Financial Executives Research Foundation. The views expressed in this article are entirely her own. She writes a blog under the nickname of The IFRS Exorcist that deals with IFRS implementation matters. Sycamore also consults on IFRS matters.,0,1
"She helps run the Morris County Career Network, which meets at St. Peter’s Episcopal Church in Morristown on the second and fourth Mondays of each month.",0,1
"She is a graduate of Queens College (CUNY). With accounting experience from a multitude of industries and coming from a large family of successful entrepreneurs, Michelle has an acute understanding of the needs of a variety of small business owners.",0,1
"She is the co-founder and CEO of SekelaXabiso Proprietary Limited (â€œSekelaXabisoâ€�). Through Lindaniâ€™s leadership, SekelaXabiso has grown to be one of the leading audit and advisory firms in the country, and has been recognised by Impumelelo as one of South Africaâ€™s most empowered companies.",0,1
"She was assigned in 1996 to be the senior manager on the engagement for Fine Host's initial public offering. She also served as the senior manager on the 1996 year-end audit. Promoted to partner at Deloitte in 1997, Horvath was assigned to be the engagement partner for the never-completed audit of Fine Host's 1997 financial statements.3 RELATED ENTITY",0,1
"After receiving her doctorate from Texas A&M University, she has taught both graduate and undergraduate tax courses at the University of Mississippi, the University of Texas at Austin and Texas State University.",0,1
"She also specializes in flow-through entities and retirement plan consulting. She serves on the boards of Rotary Club of Aiken, Community Care and Counseling of Aiken, where she serves as treasurer, and the Friends of the Aiken Railroad Depot, where she also serves as treasurer. She previously served as secretary/treasurer of the Aiken Chamber Board. Dr. Deidre Martin - Vice Chair of Business and Community Development",0,1
"She is the personal finance enthusiast, podcast junkie and numbers geek behind the blog, Stronger Wallet, where she helps people get a handle on their finances to achieve their financial goals. She and her husband live in Wyoming with their two young kids. Connect with her on Twitter or Facebook.",0,1
"A graduate of The Ohio State University, Ms. Schnitz teaches classes on a regular basis for the Service Core of Retired Executives and is a QuickBooks advisor. Perfect Balance supplies accounting support to a huge array of tiny businesses, specialists and individuals.",0,1
She is a member of the Maryland Association of Certified Accountants and the American Institute of Certified Public Accountants. She has served on the Gilman School Board of Trustees from 2014-2016 and continues to serve on several board committees. Lynne serves as the Chair of the Baltimore County Food Policy Task Force. She also serves as a Board Member of the Donald Bentley Food Pantry. Lynne is a graduate of Leadership Baltimore County Class of 2018. She received her Bachelor of Art from the University of Rochester and completed her accounting degree at University of Baltimore and Loyola University Maryland.,0,1
She is a member of the Video Tax News editorial board and is a co-writer and presenter of the Video Tax News National Personal Tax and Corporate Tax update courses.,0,1
"Her CA designation is combined with Bachelors in Business Administration with a focus on Organizational Behavior. She will be a speaker at the upcoming Women of the North Leadership and Business conference. In her spare time, Alison is a very active member of the community. She sits on the 2015 Canada Winter Games Host Society Board of Directors, is a part of the Cassie and Friends (Juvenile Arthritis) board, and organized the Kids Otway Challenge. Franzi Ng",0,1
"She is at Head of the $14 Billion Group Tax Vedanta- the largest diversified natural resources company in India with its focus on Zinc, Iron Ore, Lead, Gold, Copper, Aluminum, Power and Oil & Gas. Here she drives a culture of compliance and sees that the company’s long term goals are aligned with its tax functions. She manages risks in multiple jurisdictions and bears an advisory role on significant decisions related to taxation. At Vedanta she is primarily responsible for compliance and guidance on all big ticket tax advice across subsidiaries in Tasmania, Zambia, South Africa, Ireland and the UK, where the parent company is listed",0,1
"She is a qualified expert witness and has experience in litigation support including the preparation of business valuations, analysis of income available for support, stock option and retirement plan allocations, separate property tracing, Moore/Marsden calculations and Pereira/Van Camp determinations. In 2012, The California Society of CPAs (CalCPA) voted Ms.Thompson Young Emerging Professional (YEP) of the Year.’",0,1
"She practiced public accounting as an undergraduate and has remained in practice ever since. Bristol is currently the president of the Optimist Club of El Paso and is the first female president in this organization's 66-year history. Bristol was born in Freeport, Illinois. She migrated to the southwest in 1985. Tracy Bristol Colleagues :",0,1
"Deidra D. Jones has been issued a Mississippi license. All CPAs, including Deidra D. Jones, have at the minimum an undergraduate degree in accounting, passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed. CPAs can work in private industry, education or government but most people think of CPAs during tax season as the experts in tax preparation. Their overall training in business and knowledge in principles of general law and taxation provide CPAs with the skills to help individuals with both personal and business financial decisions.",0,1
"Ms. Boag holds a degree in accounting from California State University, Fullerton, plus CPA licenses in the states of Texas and California. Ms. Boag has more than twenty years of experience in tax planning and accounting services and consulting for a variety of clients. The firm offers accounting services, tax preparation and planning services, bookkeeping, budget development, financial statement preparation, new business advisory services, software training, IRS tax help, and outsourced controller and CFO services.",0,1
"She worked in international tax and transfer pricing with a media / journalism company, until she succumbed to literary fantasies and began working as a freelance writer. She writes short stories, poetry and travel blogs which have been published on various platforms. She is an obsessive bibliophile that devours books by night. She considers herself an analogue gal and can be heard complaining of technology takeover and the impending robocalypse over many, many cups of coffee. Her writing first emerged as a blob on the internet – a blog started by her alter ego, Miss Moody. She now harbours dreams of writing and traveling full time and also plans to write a novel.",0,1
"The simple pace of life and the Amish devotion to God made her question her own current breakneck lifestyle, and Daisy decided she wanted something more. She quit her job, threw away her cell phone, and began to pray.",0,1
"Her research is focused on governance, board practices and risk. She takes a practical approach and engaging style in this Income Tax Law course and takes particular care to structure lectures so that students get personal value from the real-life application of tax law on their lives across each lecture. She applies the principle of Ubuntu in her teaching: being connected to others, since more than half her students are international students who need perspective about life in Australia to better follow the legislation. Dr Voogt encourages students to invest more time in this technical and detail-driven subject through a 24/7 email facility. The course is delivered through interactive, practical lectures of two hours each week, after which students practice the application of the law in tutorial classes.",0,1
"Her accounting background includes the preparation of financial statements, reviews, audits, individual and business tax returns, cash flows, budgets, and payroll. Mary has been with Sage since 1992 and currently serves as Director of Research and Development.",0,1
"In 1994, Peggy opened her own practice in Auburn. She is a member of the AICPA and the Nebraska Society of CPA's. She graduated from Peru State College with a Bachelor of Science degree.",0,1
"Ms. Ward has worked for PetroCap since 1999, and in addition to her responsibilities in accounts receivable, she processes expenditure requests and maintains files for risk management on investment projects. Prior to joining PetroCap, Ms. Ward worked for Gulf West Oil & Gas in accounts payable, revenue processing and regulatory reporting. She has held various other positions in banking and oil and gas accounting since 1987.",0,1
"She found a home with a foster mother and lived a somewhat normal life. Annie is the daughter of the man who was allegedly the “Newton Slayer” a serious killer from Newton, Iowa who targeted young mother’s. Since the visions began she decided to travel back to the source of all her adult issues, Newton.",0,1
"Tony worked for the Sustainable Energy Authority of Victoria (the predecessor to Sustainability Victoria), during which time he was instrumental in the development of FirstRate energy rating software.",1,0
"Alan has also taught architectural design at Syracuse University and the University of Washington. His primary work has been museum and exhibition projects, including the Frye Art Museum in Seattle, designed with Rick Sundberg. Alan studied with Astra Zarina in U.W's Architecture In Rome Program in 1986 and returned to Italy with a NIAUSI fellowship in 2006. Alan's trip to Civita provided a chance to pick up threads of work and thought that he had started 20 years ago in his student work - but this time returning as a professional - analyzing historical layers, spaces and architectural relationships through pencil, ink and mixed media, including PowerPoint manipulations. Dan Corson",1,0
"He neither loves or hates the chaos that retains some sense of order even when it visually and physically appears on the edge of giving up and collapsing. Watanabe is one of the few architects that express a keen interest in the production of architecture and the use of computer-aided technology. He is also one of the few architects to have built in times of incredible change, changes which once again are urging architects and designers to question and challenge their role in amongst great social, economic and environmental change and upheaval.",1,0
"Amandeep is also a coauthor of HBase In Action, a book geared toward building applications using HBase. Prior to Cloudera, Amandeep was at Amazon Web Services, where he was a part of the Elastic MapReduce team, and built the first version of EMR’s HBase offering.",1,0
"More than 70 years after his liberation from the camps, he has decided to share his story with the world. He hopes that young people will read his book so that they can “understand events that, from the perspective of the current day, might seem almost unreal.”",1,0
"Since moving to Asheville in 2005, he has been active in the community serving on the local AIA Board as President, while collaborating on non-profit events like HATCHfest, CANstruction, and BowWowHaus. He currently sits on the AIA North Carolina Board as Treasurer. Tyler McLaughlin",1,0
"General Services Administration, the federal government's real estate manager. He has supervised several projects contracted to Herter's company and said he likes Herter's confidence and honesty.",1,0
"His philosophy, though, is firmly rooted in the concept of organic architecture, as taught by its first practitioner. He was apprenticed to the Taliesin fellowship during the latter years of Frank...",1,0
"He started playing guitar at the age of 8, and joined the Cleveland band Element when he was 13. While attending Ohio State, he was a member of a Van Halen cover band, and composed and recorded music for a number of student film projects. He performed for 3 seasons with Playback Columbus, an improvisational theater group, as their guitarist/keyboardist, and along with Pat and Renilda, founded Loosely Strung, an eclectic bluegrass-based band. His musical influences include: Toto, Little Feat, Brent Mason, Michael Landau, Bryan Sutton, and Jerry Douglas.",1,0
"He has led visualization exercises for a number of the firm’s academic and healthcare clients. For a complete copy of the Shepley Bulfinch briefing paper “Using graphics and storytelling to explain abstract concepts,” please email info@shepleybulfinch.com.",1,0
"Codega, Trane and others interviewed for this article suggested that every boat-buying project begin with a mission statement, like the one atop the Decision Tree accompanying this article.",1,0
"He also holds a doctorate from the Ecole des Hautes Etudes en Sciences Sociales in Paris. He is a tenured academic at the Ecole Nationale Supérieure d’Architecture de Paris-Val de Seine and also teaches at the Ecole Polytechnique. He is also in charge of cultural activities of the Société française des architectes since 2007. His works include Avant l’oeuvre, essai sur l’invention architecturale, (Paris, Editions de l’imprimeur, 2005) and articles in Le Visiteur (of which he is the Editor since 2008), as well as in several journals including Faces, D’A, Les Cahiers de l’Ecole de Blois, New Geographies (Harvard), Albertiana, andLe Monde diplomatique and Libération. He is a member of the Art and Bibliophilia commission at the Centre National du Livre, which provides grants for publishing projects.",1,0
"He works with AWS customers to provide guidance and technical assistance about database projects, helping them improve the value of their solutions when using AWS.",1,0
"He is an author –- both nonfiction, with software programming books; and fiction, with ""Shadow Fox: Sons of Liberty,"" written with his daughter Jessica. And he is a blacksmith –- a trade he got into as a kid growing up in Wisconsin.",1,0
"His reputation is irreparably damaged when an apartment complex he designed and built does not withstand a hurricane. Feeling that he has been wrongly branded, Coleman creates the alias of the Quakemaster and uses his super-charged jackhammer to create earthquakes in Gotham City. His scheme backfires and only his buildings are damaged in the quakes. Quakemaster is defeated and captured by Batman.",1,0
He studied at The Duncan of Jordanstone College of Art (University of Dundee) completing BSc in Architecture and B. Arch (Hons) degree courses leading on to corporate membership of the Royal Institute of British Architects.,1,0
"He teaches Architectural Design at the Architectural Representation Lab as a part of the degree of Sciences of Architecture at the University of Florence. He focuses on issues of Design and Survey concerning cultural assets in general, and archaeological heritage in particular.",1,0
"He was selected by the famous South African artist William Kentridge as his protégé for the 2012-2013 Rolex Mentor and Protégé Arts Initiative, which gives exceptional young talents the opportunity to work with a master in their field for a year. In addition, he has been selected to exhibit his works throughout the world, including in the United States, Spain and London.",1,0
"He has been working with Java since 1996 and is actively involved in open source projects in the Java and Linux area. He is Apache Software Foundation member and serves as PMC and Committer for Apache OpenWebBeans, MyFaces, Maven, OpenJPA, BVal, DeltaSpike and other projects. He is also a CDI Expert Group member actively working on the specification. Mark works for the Research Group for Industrial Software (INSO) at the Vienna University of Technology.",1,0
"Currently he is in charge of Engineering Division. Mr. Choi received bachelor of architecture, master of science and Ph.D. from Yonsei University. He also completed the Advanced Industrial Strategy Program(AIP) from Seoul National University.",1,0
"In 2000, he won a Special Mention in the design competition Alessi (Italy) organized through YoYo, a torch having a telescopic stand for ease of handsfree operating. in 2004, his Wodoo ashtray was edited by Sawaya & Moroni (Italy). In 2006, Cherif won a design competition with Droog (The Netherlands) and his t-shirt entered production the year after. In 2007, his Ming lamp collection became part of Covo (Italy)'s collection. His Lunique coffee table was chosen by Sawaya & Moroni to complement their line of products in 2008. He has designed various furniture items for leading Egyptian manufacturers and has taught product design at the German University in Cairo. He has designed many high profile interiors for some of Egypt's highest profile companies and individuals. Corporate identities, logos, flyers and other graphic medium are also part Cherif's extensive body of work.",1,0
"He is the co-author of Salamander: The Story of the Mormon Forgery Murders, co-founder of Sunstone magazine, co-editor of Dialogue: A Journal of Mormon Thought, and is a contributing author to Religion, Feminism, and Freedom of Conscience: A Mormon/Humanist Dialogue. He has been published in the Utah Historical Quarterly and elsewhere and is the recipient of a Best Article Award from the Mormon History Association. He is a board member of the Utah Endowment for the Humanities and is the Utah Advisor for the National Trust for Historic Preservation.",1,0
"Armed with extensive knowledge in software product management, he wrote the essay “The Mythical Man-Month”. This book puts development practice under the spotlight and earned its author the National Medal of Technology in 1985 and the Turing Award in 1999.",1,0
"He is primarily responsible for working with the development teams to create great software. This starts with working with the Product Owners to determine both feasibility and estimated cost of features and ends with a high over design that is further refined and developed together with the DevOps teams. Henry aims to be fully hands-on at least three days a week. Henry's interests include the Azure cloud, DevOps, VSTS, software architecture and the design and implementation of testable and maintainable software. Besides working at SnelStart he is one of the Microsoft ALM Rangers to share his experiences with VSTS, DevOps and related subjects.",1,0
"He graduated with a Bachelor of Architecture from the Université Saint-Esprit de Kaslik (USEK) in Jounieh, Lebanon in 2015. He has varied experience in architecture at firms including NMG Architects and Gebara CAD.",1,0
"As his project was aimed at the virtuosi of woodworking technology, he could not but propose it to Bernini who, in turn, could not but take it into consideration.",1,0
